timestamp,message
1756057855928,"  File ""<frozen importlib._bootstrap_external>"", line 883, in exec_module"
1756057855928,"  File ""<frozen importlib._bootstrap>"", line 241, in _call_with_frames_removed"
1756057855928,"  File ""/app/wsgi.py"", line 76, in <module>"
1756057855928,    from main import app  # fallback if the app lives in main.py
1756057855928,ModuleNotFoundError: No module named 'main'
1756057855928,[2025-08-24 17:50:55 +0000] [9] [INFO] Worker exiting (pid: 9)
1756057855929,[2025-08-24 17:50:55 +0000] [11] [INFO] Worker exiting (pid: 11)
1756057856231,[2025-08-24 17:50:56 +0000] [8] [ERROR] Worker (pid:11) exited with code 3
1756057856234,[2025-08-24 17:50:56 +0000] [8] [ERROR] Worker (pid:9) was sent SIGTERM!
1756057856332,[2025-08-24 17:50:56 +0000] [8] [ERROR] Shutting down: Master
1756057856332,[2025-08-24 17:50:56 +0000] [8] [ERROR] Reason: Worker failed to boot.
